sample	treat 	treat_received
GSM2858709                               Ctrl	Anthracyclines and/or taxanes
GSM2858710                               Ctrl	Anthracyclines and/or taxanes
GSM2858712                              Treat	Anthracyclines and/or taxanes
GSM2858714                               Ctrl	Anthracyclines and/or taxanes
GSM2858715                               Ctrl	Anthracyclines and/or taxanes
GSM2858717                               Ctrl	Anthracyclines and/or taxanes
GSM2858719                              Treat	Anthracyclines and/or taxanes
GSM2858720                               Ctrl	Anthracyclines and/or taxanes
GSM2858721                               Ctrl	Anthracyclines and/or taxanes
GSM2858722                              Treat	Anthracyclines and/or taxanes
GSM2858723                               Ctrl	Anthracyclines and/or taxanes
GSM2858724                               Ctrl	Anthracyclines and/or taxanes
GSM2858725                               Ctrl	Anthracyclines and/or taxanes
GSM2858728                              Treat	Anthracyclines and/or taxanes
GSM2858730                              Treat	Anthracyclines and/or taxanes
GSM2858731                              Treat	Anthracyclines and/or taxanes
GSM2858732                              Treat	Anthracyclines and/or taxanes
GSM2858733                               Ctrl	Anthracyclines and/or taxanes
GSM2858734                              Treat	Anthracyclines and/or taxanes
GSM2858735                              Treat	Anthracyclines and/or taxanes
GSM2858736                              Treat	Anthracyclines and/or taxanes
GSM2858737                               Ctrl	Anthracyclines and/or taxanes
GSM2858738                               Ctrl	Anthracyclines and/or taxanes
GSM2858740                               Ctrl	Anthracyclines and/or taxanes
GSM2858741                               Ctrl	Anthracyclines and/or taxanes
GSM2858743                              Treat	Anthracyclines and/or taxanes
GSM2858744                              Treat	Anthracyclines and/or taxanes
GSM2858745                               Ctrl	Anthracyclines and/or taxanes
GSM2858747                               Ctrl	Anthracyclines and/or taxanes
GSM2858750                               Ctrl	Anthracyclines and/or taxanes
GSM2858751                               Ctrl	Anthracyclines and/or taxanes
GSM2858752                              Treat	Anthracyclines and/or taxanes
GSM2858753                               Ctrl	Anthracyclines and/or taxanes
GSM2858754                              Treat	Anthracyclines and/or taxanes
GSM2858755                               Ctrl	Anthracyclines and/or taxanes
GSM2858756                               Ctrl	Anthracyclines and/or taxanes
GSM2858757                              Treat	Anthracyclines and/or taxanes
GSM2858758                               Ctrl	Anthracyclines and/or taxanes
GSM2858759                               Ctrl	Anthracyclines and/or taxanes
GSM2858762                              Treat	Anthracyclines and/or taxanes
GSM2858763                               Ctrl	Anthracyclines and/or taxanes
GSM2858764                               Ctrl	Anthracyclines and/or taxanes
GSM2858765                              Treat	Anthracyclines and/or taxanes
GSM2858768                               Ctrl	Anthracyclines and/or taxanes
GSM2858769                               Ctrl	Anthracyclines and/or taxanes
GSM2858770                              Treat	Anthracyclines and/or taxanes
GSM2858771                               Ctrl	Anthracyclines and/or taxanes
GSM2858773                              Treat	Anthracyclines and/or taxanes
GSM2858774                               Ctrl	Anthracyclines and/or taxanes
GSM2858775                              Treat	Anthracyclines and/or taxanes
GSM2858776                               Ctrl	Anthracyclines and/or taxanes
GSM2858777                              Treat	Anthracyclines and/or taxanes
GSM2858778                              Treat	Anthracyclines and/or taxanes
GSM2858779                               Ctrl	Anthracyclines and/or taxanes
GSM2858781                               Ctrl	Anthracyclines and/or taxanes
GSM2858782                               Ctrl	Anthracyclines and/or taxanes
GSM2858783                               Ctrl	Anthracyclines and/or taxanes
GSM2858784                              Treat	Anthracyclines and/or taxanes
GSM2858785                              Treat	Anthracyclines and/or taxanes
GSM2858786                               Ctrl	Anthracyclines and/or taxanes
GSM2858787                               Ctrl	Anthracyclines and/or taxanes
GSM2858788                              Treat	Anthracyclines and/or taxanes
GSM2858790                              Treat	Anthracyclines and/or taxanes
GSM2858791                              Treat	Anthracyclines and/or taxanes
GSM2858793                              Treat	Anthracyclines and/or taxanes
GSM2858794                              Treat	Anthracyclines and/or taxanes
GSM2858795                              Treat	Anthracyclines and/or taxanes

